layer,task,probe,accuracy,accuracy_std,f1_macro,n
33,Binary faithful,linear,0.7174955530972069,0.01909847260050218,0.5774467383007403,2000
33,Binary faithful,mlp,0.8369783217395108,0.021475851260248913,0.5843426884630845,2000
34,3-class (A/B/C),linear,0.6705203661254227,0.0180527621777983,0.5798945175610655,2000
34,3-class (A/B/C),mlp,0.7334923921632719,0.023214203804721844,0.5516467394105383,2000
34,Binary bypass,linear,0.7794801342508391,0.016017839519552542,0.7607288898376249,2000
34,Binary bypass,mlp,0.7859764498528116,0.02539768588175957,0.7547198102716394,2000
34,Binary faithful,linear,0.7194855467846674,0.01778918678709913,0.5845839064503078,2000
34,Binary faithful,mlp,0.8504934030837694,0.01245555912362364,0.575987667101004,2000
35,3-class (A/B/C),linear,0.669504175072736,0.01591494432618695,0.5763655653416534,2000
35,3-class (A/B/C),mlp,0.7114871800038303,0.02829921722672764,0.5199152689583675,2000
35,Binary bypass,linear,0.7819751529697061,0.01985765661755158,0.7628948527955884,2000
35,Binary bypass,mlp,0.7754838498990619,0.024418247499808126,0.7396007250434506,2000
35,Binary faithful,linear,0.7179830342689643,0.017696159252779953,0.5807292967697034,2000
35,Binary faithful,mlp,0.8330133594584966,0.014475929973562729,0.5707359845707705,2000
36,3-class (A/B/C),linear,0.6814943059812035,0.019833863102586544,0.591507260026465,2000
36,3-class (A/B/C),mlp,0.7194958961030821,0.016725938175829562,0.545145456085727,2000
36,Binary bypass,linear,0.7799826092663078,0.022955437693884785,0.7607225575020456,2000
36,Binary bypass,mlp,0.7904789686185538,0.013676741761761929,0.7597514657072787,2000
36,Binary faithful,linear,0.7255080656754105,0.012506368138937393,0.5851849174854944,2000
36,Binary faithful,mlp,0.8464996499978124,0.015541542739934005,0.5652833104835026,2000
37,3-class (A/B/C),linear,0.6730129470025605,0.014569410356884801,0.5806957152684012,2000
37,3-class (A/B/C),mlp,0.7280010518722458,0.0159900789913825,0.5112896392425241,2000
37,Binary bypass,linear,0.7779801280008,0.024454778764535157,0.7585313394797988,2000
37,Binary bypass,mlp,0.7834876405477534,0.023566154841127826,0.7497251849773787,2000
37,Binary faithful,linear,0.7324943687148044,0.019300664708567995,0.5884521918000802,2000
37,Binary faithful,mlp,0.840008321927012,0.011040364495860055,0.5747526677047702,2000
38,3-class (A/B/C),linear,0.6770117686369869,0.015024335518663112,0.5826930813971523,2000
38,3-class (A/B/C),mlp,0.731499879710069,0.015076186808240351,0.5165408965488548,2000
