layer,task,probe,accuracy,accuracy_std,f1_macro,f1_std,n
21,Binary bypass (A vs non-A),linear,0.7692995841187207,0.016394300433427253,0.7364715992674277,0.01758547777267857,4287
21,Binary bypass (A vs non-A),mlp,0.806390808724531,0.005777678619297974,0.7487736979361959,0.01231226297311648,4287
21,Binary faithful (C vs non-C),linear,0.668763752777755,0.019617380876951414,0.6566560303883239,0.018719913192350387,4287
21,Binary faithful (C vs non-C),mlp,0.685336716958654,0.019302350247809786,0.6437794305619964,0.024941832945571903,4287
22,3-class (A/B/C),linear,0.5971565579500235,0.00466434717121123,0.599444214872132,0.004944241654963205,4287
22,3-class (A/B/C),mlp,0.568702009775522,0.02083870363204117,0.5706255285952627,0.020880955154886038,4287
22,Binary bypass (A vs non-A),linear,0.7744329571634122,0.017112549914960026,0.7428618594499259,0.01800621668530093,4287
22,Binary bypass (A vs non-A),mlp,0.7944948089638871,0.011481597922310894,0.7349291831286712,0.013889671338776218,4287
22,Binary faithful (C vs non-C),linear,0.6662007381960706,0.016110983503273914,0.6536763429229612,0.014551573509388778,4287
22,Binary faithful (C vs non-C),mlp,0.6944238181110994,0.00815831983599067,0.6567844689489319,0.006515577440156537,4287
23,3-class (A/B/C),linear,0.5999562087076673,0.008105303333920207,0.6023151504213153,0.008464958130700978,4287
23,3-class (A/B/C),mlp,0.5698707748882779,0.023230671025370478,0.5714940195056089,0.022685460819845318,4287
23,Binary bypass (A vs non-A),linear,0.7727977195888515,0.01981624389308621,0.7407174098435751,0.01969282572288848,4287
23,Binary bypass (A vs non-A),mlp,0.7979885925043451,0.01664254814639128,0.7373185713349498,0.022320242870126464,4287
23,Binary faithful (C vs non-C),linear,0.6694649574462878,0.01706308666116449,0.6577101665314171,0.016056626253576487,4287
23,Binary faithful (C vs non-C),mlp,0.6834632112345064,0.02047165964527918,0.6437993840168729,0.01888035509649841,4287
24,3-class (A/B/C),linear,0.6006538774333408,0.005736091153736926,0.6029599657133365,0.005804192372305308,4287
24,3-class (A/B/C),mlp,0.5742999513127869,0.019918832847886696,0.5769918048478331,0.020181182823331992,4287
24,Binary bypass (A vs non-A),linear,0.7725632593777285,0.01806995282143738,0.7411534688693895,0.018174451681921493,4287
24,Binary bypass (A vs non-A),mlp,0.7998596502680517,0.00783724703613757,0.7378261740791492,0.010015536284109079,4287
24,Binary faithful (C vs non-C),linear,0.6703984463611068,0.014907534141394629,0.6588832925890197,0.013562857339514999,4287
24,Binary faithful (C vs non-C),mlp,0.6806638324724672,0.011270508622081806,0.6377882374855952,0.016569284988088538,4287
25,3-class (A/B/C),linear,0.6001887649495583,0.010611778494562362,0.6030119812384003,0.010706166006778902,4287
25,3-class (A/B/C),mlp,0.5757048086102928,0.028428482020979844,0.5774067581949772,0.028072358900550057,4287
25,Binary bypass (A vs non-A),linear,0.7718642306740323,0.010587237830696088,0.7398279030382453,0.010944612498665279,4287
25,Binary bypass (A vs non-A),mlp,0.7930997435081449,0.014665645393469377,0.729269158538648,0.019922710079767616,4287
25,Binary faithful (C vs non-C),linear,0.669704041582688,0.017150212935979448,0.6576734901212193,0.01611305232782983,4287
25,Binary faithful (C vs non-C),mlp,0.6785724582690744,0.024518067699109494,0.6362993454861685,0.03277487891880875,4287
26,3-class (A/B/C),linear,0.5980873269087972,0.010124865212537906,0.6004351195856434,0.010665749727632744,4287
26,3-class (A/B/C),mlp,0.5633379844581712,0.03068398866278124,0.5666001037152444,0.030583539679384614,4287
26,Binary bypass (A vs non-A),linear,0.7762980310238186,0.014722808761020285,0.7448858103420102,0.015096361803112477,4287
26,Binary bypass (A vs non-A),mlp,0.7956578621689474,0.012077880581092989,0.7301131739635799,0.017762508152446857,4287
26,Binary faithful (C vs non-C),linear,0.6692343051736285,0.017139045665817077,0.6575013534551929,0.015210470629031546,4287
26,Binary faithful (C vs non-C),mlp,0.6813669411102317,0.01670889679238962,0.6378674650843363,0.01940855062493304,4287
27,3-class (A/B/C),linear,0.5978561306449288,0.011591079153575965,0.6003975707343493,0.012111342387375108,4287
27,3-class (A/B/C),mlp,0.5757012726674338,0.018452704538871604,0.5773544065680551,0.01903439508138132,4287
27,Binary bypass (A vs non-A),linear,0.7751338898363402,0.01937327211771911,0.7439478555840526,0.019762370952808285,4287
27,Binary bypass (A vs non-A),mlp,0.8005581349805387,0.010914767455524743,0.7378276340355842,0.015517105114796552,4287
27,Binary faithful (C vs non-C),linear,0.6652677932724608,0.017620121216000692,0.6534888378243131,0.015976264941362568,4287
